comment,behaviour,suggestion
u clocked all of them,Praise,Avoid aggressive slang.
you have  the patience of a saint doc mike,Praise,Respectful compliment.
You are doing an amazing job! We need more people like you on the Internet!,Praise,Encouraging tone.
This was rough...,Empathy,Acknowledge difficulty.
But you didn't get to speak!,Complaint,State observation neutrally.
they hardly gave you an opportunity to speakðŸ˜‚,Criticism,Calm phrasing.
?? Doctors who put others down so they could be better,Criticism,Avoid generalization.
I have to commend your patience going through that... You did a wonderful job.,Praise,Constructive praise.
"Don't worry, you didn't.",Emotional Support,Gentle reassurance.
You are a saint.,Praise,Avoid exaggeration.
u have so much patience i could never,Praise,Positive comparison.
U genuinely handled this â€œdebateâ€ so well! Also I enjoy ur videos so much!,Praise,Supportive feedback.
thank you for educating these idiots.,Harassment,Remove insults.
"Dr Mike, you are such an amazing doctor.",Praise,Respectful praise.
You are truly truly amazing!!!,Praise,Tone moderation.
Thankyou for your patience...,Appreciation,Clear gratitude.
bless your patience,Praise,Positive acknowledgment.
Â @numawevaÂ beautifully said,Praise,Neutral endorsement.
@DoctorMike really proud of you,Support,Supportive tone.
"Dude, you have patience...!",Praise,Neutral phrasing.
you know you should have stated your conflict of interest,Criticism,Constructive critique.
You deserve a vacation after this video ahah,Support,Light encouragement.
You were amazing...,Praise,Simple praise.
WE LOVE YOU!!!!,Emotional Support,Reduce intensity.
Reaction on your channel?,Request,Polite request.
Shoutout my goat,Praise,Remove slang if needed.
Thank you for making social media more civil.,Appreciation,Promote civility.
love your show and i saw 799 replies and wanted to make it an even 800,Engagement,Harmless humor.
you're genuinely a hero of our times,Praise,Avoid exaggeration.
Truly doing gods work. Unironically,Praise,Neutral wording.
You have the patience of a glacier.,Praise,Avoid sarcasm.
We love you 3000,Emotional Support,Positive emotion.
@ ?,Mention,Unclear / neutral.
@ prett,Mention,Unclear / neutral.
What is intelligence?,Question,Ask constructively.
How are they fools?,Question,Avoid insults.
One big pharma shill vs 20 people who can think for themselves,Accusation,Remove loaded language.
"There is some truth to the skeptics claims, illness is profitable, humans are greedy",Opinion,Acknowledge nuance.
Â @kevinwallis2194Â try to form a coherent sentence first,Insult,Encourage clarity.
literally the most fustrating group of people on this format so far,Complaint,Express emotion calmly.
â€‹@Republican-45 That is quite the opposite.,Counter-argument,Respectful disagreement.
go take your booster sheep,Harassment,Remove dehumanization.
well then you're misinformed,Insult,Focus on ideas.
funny how they vote him off when hes winning against dr mike too,Mockery,Neutral observation.
My exact reaction lol,Solidarity,Casual agreement.
idk WHY heâ€™s back,Complaint,Remove hostility.
Why is this dude in all of these,Complaint,Neutral phrasing.
saaaame,Solidarity,Clear agreement.
"Just his face says, misleading",Mockery,Avoid personal attack.
Literally said the same thing out loud lol,Agreement,Shared reaction.
Said the same thingâ€¦this dumbass,Abusive,Remove insults.
Bruh I screamed when I saw him dude is a jubilee jump scare,Reaction,Reduce mockery.
SAME REACTION,Agreement,Agreement.
Can't they get new people? Got the same goofs every time.,Complaint,Avoid name-calling.
"Immediately came here to comment on this. Is this dude just ""Anti-life""?",Accusation,Avoid labeling.
Lmaooooooo,Reaction,Neutral reaction.
TERRIBLE FORMAT,Criticism,Constructive critique.
"Owns, is so annoying. Youtube owns us, so I guess we're similar.",Complaint,Tone down hostility.
Dr Mike wasn't completely honest.,Accusation,Avoid accusation.
â€‹Â @ruthpelzerÂ  how so?,Inquiry,Invite discussion.
OMG.,Reaction,Neutral reaction.
Anti-Vaxxers are genuinely dangerous people.,Condemnation,Focus on behavior.
THANK YOU SO MUCH FOR DOING THIS!,Appreciation,Appreciation.
"As a doctor, the misinformation and distortion with antivaxxers seems strong",Professional Commentary,Professional framing.
I wanted to learn buuuuuuut here we go again!,Complaint,Express disappointment calmly.
GET YOUR VACCINE and TAX THE RICH,Political Slogan,Avoid slogans.
DOCTOR MIKE!!!!!!,Praise,Reduce intensity.
Normally donâ€™t love these videos. But I love Dr. Mike.,Praise,Positive sentiment.
early :D hi dr mike and jubilee!!,Greeting,Friendly greeting.
The chick in the green in deranged. Jubilee is an unserious platform,Harassment,Remove insults.
oh i love dr mike,Praise,Positive phrasing.
What is this orange tint filter?,Question,Neutral question.
Never clicked faster on a Jubilee video,Praise,Enthusiasm.
Dr. Mike is always so chill.,Praise,Compliment tone.
"Of course the youth pastor doesn't want women to vote, is an anti vaxxer",Accusation,Avoid personal attack.
He does that all on his own.,Criticism,Neutral clarification.
Dr. Mike tryna give himself an aneurysm,Hyperbole,Avoid harmful metaphor.
There is no way people think they can argue with a doctor,Commentary,Respectful concern.
Jubilee-woop,Nonsense,Neutral filler.
WHY are we giving platforms to anti-vaxxers?,Complaint,System-focused critique.
there is absolutely no way a healthcare worker is antivax..,Assertion,Careful wording.
Just ask for the full ingredient list before you get a vax,Advice,Encourage informed choice.
Bro's gonna grow a couple more grey hairs after this,Humor,Avoid mockery.
OMG IM GOING TO LOVE THIS EPISODE I LOVE U DOCTOR MIKE!!!,Anticipation,Tone moderation.
"Dr. Mike doing the hardest procedure ever, changing some ones mind.",Praise,Acknowledge effort.
Check out Tom Flynn go to town,Recommendation,Suggest resources.
DR MMIIIIIIKKKEEEE !!!!!!!!!!,Praise,Reduce emphasis.
Cope,Trolling,Remove dismissiveness.
Â @c0axÂ  Cope?,Trolling,Invite explanation.
Sir. This is America.,Dismissive,De-escalation.
why cant people argue with a doctor?,Question,Genuine inquiry.
This appeal to authority leaning way of thought is very foolish.,Argument,"Critique ideas, not people."
Â @erictheguapoÂ  That's a fair point. I completely agree with you,Validation,Healthy agreement.
nobody is a saint,Corrective Statement,Balanced perspective.
what is a point then?,Question,Neutral clarification
@ gotcha!,Taunting,Acknowledging message
Youâ€™re not the brightest but itâ€™s ok less jabs for smart people,Insult,Avoid personal insults
Â @c0axÂ  I take it you're either anti-vax or a self proclaimed skeptic?,Accusation,Ask without labeling
There are so many and it makes me scared.,Emotional Expression,Express emotion respectfully
Don't give them ideas,Warning,Reduce aggressive tone
It's probably really hard to find 20 actual doctors that are anti vax,Commentary,State opinion calmly
Better than not,Dismissive,Neutral phrasing
Because anti Vax is a non-doctor dominant position,Opinion,Avoid contempt
Every single 20 v 1 has this format,Meta Commentary,Observational tone
Where would they find 20 anti-vax virology experts?,Question,Remove sarcasm
Not couple,Clarification,Simple correction
How do you know it's not already grey?ðŸ˜‚,Humor,Neutral question
He already has a couple of white ones already,Neutral,Descriptive
He has a gorgeous head of hair.,Compliment,Positive tone
I did grow a couple by just watching..,Humor,Avoid exaggeration
& then stick it to his mirror lol,Joke,Keep humor gentle
Yeah the antivaxxers will for sure...,Commentary,Avoid mocking
I have and I wasn't thereðŸ˜…,Humor,Clarify calmly
love your username,Compliment,Positive interaction
I grew two grey hair halfway through.. bless this manâ€™s patience,Humor,Reduce hyperbole
maybe some more testosterone would help him too,Insult,Avoid body comments
Hopefully more testosterone too,Mockery,Remove insult
ðŸ˜‚ðŸ˜‚ Laugh-snorted so loud I woke up my partner next to me in bed,Reaction,Casual but safe
He's unfortunately aged quite a bit over the very few years that have passed,Commentary,Avoid judgment
Change what? They barely let him speak. He's too nice.,Complaint,Constructive critique
Â @Un_AbandonedÂ  Then why are you here?,Challenge,Avoid hostility
"You can't change their minds. It's not science, it's a religion.",Opinion,Remove derogatory framing
Â @Un_AbandonedÂ the mindset that will leave people uneducated.,Judgment,"Critique ideas, not people"
They held their own against the doctor.  Heâ€™s not the arbiter of truth.,Counter-argument,Neutral framing
Changing the mind of someone incapable of critical thought specifically,Insult,Avoid dehumanization
He didnâ€™t change anyone mind,Criticism,Grammar & tone fix
They should have put on tinfoil hats,Ridicule,Remove mockery
"He tried, but this case is a slam dunk!",Praise,Less aggressive
@ she was insufferable like wow,Insult,Express opinion respectfully
They have no minds to change,Harassment,Avoid demeaning
Someone*,Neutral,Minor correction
Brain rot extraction,Insult,Avoid insults
Hard to change someones mind when their half brain dead,Abusive,Remove ableism
You can't turn on a light stand without a bulb.,Insult,Neutral metaphor
Lmao great comment,Praise,Remove mocking tone
Swapping out their minds for a more sane one would be easier.,Mockery,Avoid dehumanization
sounds like it was an easy job with you,Taunt,Avoid sarcasm
I NEVER CLICKED SO FAST IN MY LIFE,Reaction,Tone softening
Peewoop,Nonsense,Neutral filler
Ayyyyeeee,Reaction,Neutral excitement
"Finally, a worthwhile episode by Jubilee.",Praise,Respectful praise
I was just watching his video about his Ferrari â¤,Appreciation,Neutral
made it here early,Engagement,Casual
READ DR MIKE AND CLICKED SO FAST,Reaction,Calm tone
They liked u comment loll,Observation,Remove mockery
Cool,Acknowledgment,Neutral
Best of luck on your profession. Thank you!,Support,Positive
Thats really impressive,Praise,Positive
He literally called them all skeptics.,Commentary,Neutral
They aren't but they are both idiots.,Abusive,Remove insult
To educate others,Neutral,Neutral
And he's doing side quests,Commentary,Avoid mockery
Don't care,Dismissive,Less dismissive
"Brands have very little value, they just use you.",Opinion,Opinion phrasing
